County,Docket_Number,Offense_Tracking_Number,Filing_Date,Offense_Sequence_Number,Statute_Title,Statute_Section,Statute_SubSection,Offense_Description,Offense_Grade,Offense_Disposition,Offense_Disposition_Date,Case_Disposition,Case_Disposition_Date
Delaware,CP-23-CR-0000709-2022,R2081041,2/16/2022,1,18,3925,A,Receiving Stolen Property,,Sent to Common Pleas (Lower Court),2/16/2022,,
Delaware,CP-23-CR-0000709-2022,R2081041,2/16/2022,2,18,3928,A,Unauth Use Motor/Other Vehicles,,Sent to Common Pleas (Lower Court),2/16/2022,,
Delaware,CP-23-CR-0000709-2022,R2081041,2/16/2022,3,18,3304,A1,"Crim Misch/Dmg Prop Intent, Reckless, Or Neglig",,Sent to Common Pleas (Lower Court),2/16/2022,,
Delaware,CP-23-CR-0000709-2022,R2081041,2/16/2022,4,18,3921,A,Theft By Unlaw Taking-Movable Prop,,Sent to Common Pleas (Lower Court),2/16/2022,,
Delaware,CP-23-CR-0000709-2022,R2081041,2/16/2022,5,18,5104,,Resist Arrest/Other Law Enforce,,Sent to Common Pleas (Lower Court),2/16/2022,,
Delaware,CP-23-CR-0000709-2022,R2081041,2/16/2022,6,75,1543,A,Driv While Oper Priv Susp Or Revoked,,Sent to Common Pleas (Lower Court),2/16/2022,,
Delaware,CP-23-CR-0000709-2022,R2081041,2/16/2022,7,75,3736,A,Reckless Driving,,Sent to Common Pleas (Lower Court),2/16/2022,,
Delaware,CP-23-MD-0000218-2022,R2081041,1/31/2022,1,18,3925,A,Receiving Stolen Property,,,,,
Delaware,CP-23-MD-0000218-2022,R2081041,1/31/2022,2,18,3928,A,Unauth Use Motor/Other Vehicles,,,,,
Delaware,CP-23-MD-0000218-2022,R2081041,1/31/2022,3,18,3304,A1,"Crim Misch/Dmg Prop Intent, Reckless, Or Neglig",,,,,
Delaware,CP-23-MD-0000218-2022,R2081041,1/31/2022,4,18,3921,A,Theft By Unlaw Taking-Movable Prop,,,,,
Delaware,CP-23-MD-0000218-2022,R2081041,1/31/2022,5,18,5104,,Resist Arrest/Other Law Enforce,,,,,
Delaware,CP-23-MD-0000218-2022,R2081041,1/31/2022,6,75,1543,A,Driv While Oper Priv Susp Or Revoked,,,,,
Delaware,CP-23-MD-0000218-2022,R2081041,1/31/2022,7,75,3736,A,Reckless Driving,,,,,
